wu24,24.345703125,123.92578125,沖縄県,,八重山郡,竹富町,47381
wudv,26.279296875,127.79296875,沖縄県,,中頭郡,中城村,47328
wuep,26.630859375,128.14453125,沖縄県,,国頭郡,東村,47303
wvh1,28.388671875,129.55078125,鹿児島県,,,奄美市,46222
wvku,30.322265625,130.60546875,鹿児島県,,熊毛郡,屋久島町,46505
wvmj,30.498046875,130.95703125,鹿児島県,,熊毛郡,中種子町,46501
wvmn,30.673828125,130.95703125,鹿児島県,,,西之表市,46213
wvsc,31.201171875,130.60546875,鹿児島県,,,指宿市,46210
wvt1,31.201171875,130.95703125,鹿児島県,,肝属郡,肝付町,46492
wvsd,31.376953125,130.25390625,鹿児島県,,,南さつま市,46220
wvt4,31.376953125,130.95703125,鹿児島県,,,鹿屋市,46203
wvt5,31.552734375,130.95703125,鹿児島県,,,曽於市,46217
wvt7,31.552734375,131.30859375,宮崎県,,,日南市,45204
wvss,31.728515625,130.25390625,鹿児島県,,,いちき串木野市,46219
wvsu,31.728515625,130.60546875,鹿児島県,,,姶良市,46225
wvth,31.728515625,130.95703125,鹿児島県,,,曽於市,46217
wvtk,31.728515625,131.30859375,宮崎県,,,日南市,45204
wvst,31.904296875,130.25390625,鹿児島県,,,薩摩川内市,46215
wvsv,31.904296875,130.60546875,鹿児島県,,薩摩郡,さつま町,46392
wvtj,31.904296875,130.95703125,宮崎県,,西諸県郡,高原町,45361
wvtm,31.904296875,131.30859375,宮崎県,,,宮崎市,45201
wvsw,32.080078125,130.25390625,鹿児島県,,,出水市,46208
wvsy,32.080078125,130.60546875,鹿児島県,,,伊佐市,46224
wvtn,32.080078125,130.95703125,宮崎県,,,えびの市,45209
wvtq,32.080078125,131.30859375,宮崎県,,,西都市,45208
wvsz,32.255859375,130.60546875,熊本県,,球磨郡,球磨村,43513
wvtp,32.255859375,130.95703125,熊本県,,球磨郡,多良木町,43505
wvtr,32.255859375,131.30859375,宮崎県,,,西都市,45208
wvu8,32.431640625,130.25390625,熊本県,,,天草市,43215
wvub,32.431640625,130.60546875,熊本県,,,八代市,43202
wvv0,32.431640625,130.95703125,熊本県,,球磨郡,水上村,43507
wvv2,32.431640625,131.30859375,宮崎県,,東臼杵郡,美郷町,45431
wvv8,32.431640625,131.66015625,宮崎県,,,日向市,45206
wvv1,32.607421875,130.95703125,熊本県,,下益城郡,美里町,43348
wvv3,32.607421875,131.30859375,宮崎県,,東臼杵郡,諸塚村,45429
wvv9,32.607421875,131.66015625,宮崎県,,,延岡市,45203
wvgd,32.783203125,128.84765625,長崎県,,,五島市,42211
wvu6,32.783203125,129.90234375,長崎県,,,長崎市,42201
wvud,32.783203125,130.25390625,長崎県,,,雲仙市,42213
wvuf,32.783203125,130.60546875,熊本県,,熊本市,西区,43103
wvv4,32.783203125,130.95703125,熊本県,,上益城郡,御船町,43441
wvv6,32.783203125,131.30859375,宮崎県,,西臼杵郡,高千穂町,45441
wvvd,32.783203125,131.66015625,大分県,,,佐伯市,44205
wvug,32.958984375,130.60546875,熊本県,,,玉名市,43206
wvv5,32.958984375,130.95703125,熊本県,,,阿蘇市,43214
wvv7,32.958984375,131.30859375,大分県,,,竹田市,44208
wvve,32.958984375,131.66015625,大分県,,,佐伯市,44205
wvy7,32.958984375,132.71484375,高知県,,,宿毛市,39208
wvuk,33.134765625,129.90234375,長崎県,,東彼杵郡,波佐見町,42323
wvuu,33.134765625,130.60546875,福岡県,,,八女市,40210
wvvh,33.134765625,130.95703125,大分県,,,日田市,44204
wvvk,33.134765625,131.30859375,大分県,,,由布市,44213
wvvs,33.134765625,131.66015625,大分県,,,大分市,44201
wvyk,33.134765625,132.71484375,高知県,,,四万十市,39210
wvys,33.134765625,133.06640625,高知県,,高岡郡,四万十町,39412
xjgk,33.134765625,139.74609375,東京都,,,八丈町,13401
wvum,33.310546875,129.90234375,佐賀県,,,伊万里市,41205
wvut,33.310546875,130.25390625,佐賀県,,,佐賀市,41201
wvuv,33.310546875,130.60546875,福岡県,,,久留米市,40203
wvvj,33.310546875,130.95703125,大分県,,,日田市,44204
wvvm,33.310546875,131.30859375,大分県,,玖珠郡,玖珠町,44462
wvym,33.310546875,132.71484375,愛媛県,,北宇和郡,鬼北町,38488
wvyt,33.310546875,133.06640625,高知県,,高岡郡,四万十町,39412
wvzm,33.310546875,134.12109375,高知県,,,室戸市,39202
wvun,33.486328125,129.55078125,長崎県,,,平戸市,42207
wvuq,33.486328125,129.90234375,佐賀県,,,唐津市,41202
wvuw,33.486328125,130.25390625,福岡県,,,糸島市,40230
wvuy,33.486328125,130.60546875,福岡県,,朝倉郡,筑前町,40447
